id,establishedYear,title,city,description,houseType,bhkType,address,shared,bedAvailable,roomAvailable,availableFor,bookingType,area(sq-fit),bathroomCount,furnishingType,facilities,minRent(Rs),minRoomRent(Rs),minRoomAdvance(Rs),lat,long,available_from,is_available
304432,2009,Gahlot Nest_02,newdelhi,"This cosy 2 BHK semi_furnished, house is located in the heart of Nand Vihar, New delhi. Priced at ₹16000 for full house.",Independent House,2 BHK,kakraula,2,0,2,"boys,girls,family",house,800,2,semi_furnished,[],9000,9000,9000,28.61441422,77.02032471,10/7/2023,TRUE
33480,,APARNA CYBER LIFE F-304,hyderabad,"This beautiful 3 BHK fully_furnished, house is located in the heart of Nallagandla Village, Hyderabad. Priced at ₹9700 per bed.",Gated Society Apartment,3 BHK,serilingampally,1,1,0,boys,bed,1965,0,fully_furnished,"['Power Backup', 'Security']",9700,22900,45800,17.47005844,78.31259918,10/13/2023,TRUE
359911,2022,Ganesh apartment_103,pune,"This charming semi_furnished STUDIO independent apartment for boys and girls is located at Rakshak Nagar,Pune and is close to the major commercial centres of the area.",Independent Apartment,STUDIO,kharadi,1,0,1,"boys,girls",house,350,1,semi_furnished,['Security'],14000,14000,14000,18.54949188,73.94482422,10/10/2023,TRUE
22365,2016,AKSHAYA NEST,bengaluru,"Looking for a spacious 3 BHK independent house for boys, girls, and family at an affordable price in Block 4, Bengaluru? Then, this is right one for you.",Independent House,3 BHK,st bed layout,6,0,3,"boys,girls,family",house,1500,1,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",7400,14800,44400,12.93575287,77.63300323,10/7/2023,TRUE
359957,2018,Jaypee Kosmos_1501,noida,"Looking for a quiet 3 BHK gated society apartment for boys and family at an affordable price in Cosmos, Noida? Then, this is right one for you.",Gated Society Apartment,3 BHK,sector 134,3,0,3,"boys,family",house,1550,3,semi_furnished,"['Power Backup', 'Security']",7500,7500,7500,28.50319672,77.38139343,10/7/2023,TRUE
267988,2021,Murali Nest_201,bengaluru,"This cosy 1 BHK semi_furnished, house is located in the heart of Rose, Bengaluru. Priced at ₹14000 for full house.",Independent Apartment,1 BHK,whitefield,1,0,1,"boys,girls,family",house,800,1,semi_furnished,[],14000,14000,42000,12.96783447,77.73627472,10/7/2023,TRUE
22173,,1102 E Sylvania Apartments,pune,"Looking for a spacious 2 BHK gated society apartment for boys at an affordable price in Sylvania Apartments, Pune? Then, this is right one for you.",Gated Society Apartment,2 BHK,magarpatta,2,1,0,boys,bed,1200,2,fully_furnished,"['Swimming Pool', 'Security']",10050,18000,36000,18.51947021,73.92795563,10/31/2023,TRUE
360439,2020,Sri Sai residency Nest-204,bengaluru,"This charming semi_furnished 1 BHK independent apartment for boys, girls, and family is located at Krishna Layout,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,1 BHK,hulimavu,1,0,1,"boys,girls,family",house,450,1,semi_furnished,[],16000,16000,48000,12.87616634,77.60708618,10/7/2023,TRUE
252824,2010,vyjayanth chalets,hyderabad,"This comfortable 3 BHK fully_furnished, house is located in the heart of Financial District, Hyderabad. Priced at ₹10800 per bed.",Gated Society Apartment,3 BHK,nanakramguda,1,1,0,boys,bed,2300,3,fully_furnished,"['Swimming Pool', 'Gym', 'Power Backup']",10800,21600,43200,17.41259766,78.34345245,10/6/2023,TRUE
359613,2016,Independent house ,hyderabad,"Looking for a spacious 6 BHK independent apartment for boys, girls, and family at an affordable price in Vikas Puri, Hyderabad? Then, this is right one for you.",Independent Apartment,6 BHK,sanjeeva reddy nagar,6,0,6,"boys,girls,family",house,3050,4,semi_furnished,[],33000,33000,600000,17.44879341,78.43151855,10/7/2023,TRUE
295975,2018,RAJAGOPAL K NEST 201,bengaluru,"This charming semi_furnished 3 BHK independent apartment for boys, girls, and family is located at Sector 6,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,3 BHK,hsr layout,3,0,3,"boys,girls,family",house,2050,3,semi_furnished,[],33000,33000,99000,12.91577244,77.62539673,10/7/2023,TRUE
360600,2023,Ramakrishna Nest-103,bengaluru,"This beautiful 2 BHK semi_furnished, house is located in the heart of Block 8, Bengaluru. Priced at ₹24000 for full house.",Independent Apartment,2 BHK,visveshwaraya layout,2,0,2,"boys,girls,family",house,1200,2,semi_furnished,[],12000,12000,72000,12.96882915,77.48986053,10/7/2023,TRUE
224731,2001,Mf apartment-207,hyderabad,"This charming semi_furnished 2 BHK independent house for family is located at Alkapur Township,Hyderabad and is close to the major commercial centres of the area.",Independent House,2 BHK,neknampur,2,0,2,family,house,1050,2,semi_furnished,[],0,0,0,17.38978195,78.37578583,10/17/2023,TRUE
273185,2010,Satguru Kripa Niwas 05,newdelhi,"Looking for a quiet STUDIO independent apartment for boys and girls at an affordable price in Block E, New delhi? Then, this is right one for you.",Independent Apartment,STUDIO,mohan garden,2,0,1,"boys,girls",bed,300,1,fully_furnished,"['AC', 'Fridge', 'Tv']",5050,10100,10100,28.62404251,77.0385437,10/7/2023,TRUE
360649,2020,RS  COMFORT NEST-205,bengaluru,"Looking for a charming 1 BHK independent apartment for boys, girls, and family at an affordable price in Lakshmisagar Layout, Bengaluru? Then, this is right one for you.",Independent Apartment,1 BHK,mahadevapura,1,0,1,"boys,girls,family",house,450,1,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",25000,25000,75000,12.99314976,77.6934967,10/7/2023,TRUE
332985,2014,RAJARAM NEST 2,chennai,"Looking for a spacious 1 BK independent house for boys at an affordable price in Uthandi, Chennai? Then, this is right one for you.",Independent House,1 BK,uthandi,1,0,1,boys,house,500,1,fully_furnished,"['Gym', 'AC', 'Power Backup', 'Fridge']",15000,15000,45000,12.86985874,80.24565887,10/7/2023,TRUE
309972,2015,LLOYD Nest,mumbai,"This beautiful 2 BHK fully_furnished, house is located in the heart of Irla, Mumbai. Priced at ₹17450 per bed.",Independent House,2 BHK,ville parle west,3,1,1,boys,bed,680,2,fully_furnished,"['AC', 'Washing Machine', 'Fridge', 'Tv']",17450,35000,70000,19.10795975,72.84073639,10/9/2023,TRUE
318961,2018,Provident Park Square,bengaluru,"Looking for a charming 2 BHK gated society apartment for girls and family at an affordable price in Provident Park Square, Bengaluru? Then, this is right one for you.",Gated Society Apartment,2 BHK,jyotipuram,2,0,2,"girls,family",house,900,2,semi_furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",14000,14000,42000,12.86367035,77.5406723,10/7/2023,TRUE
263464,2012,Allwyn Nest,mumbai,"This cosy 1 BHK unfurnished, house is located in the heart of Jaydev Singh Nagar, Mumbai. Priced at ₹23000 for full house.",Gated Society Apartment,1 BHK,bhandup west,1,0,1,family,house,500,1,unfurnished,['Security'],23000,23000,101200,19.14523888,72.93029785,10/10/2023,TRUE
5835,,FLAT NO 501 SAI GRACIA APARTMENTS,hyderabad,"This spacious fully_furnished 2 BHK independent apartment for boys is located at Indian Airlines Colony,Hyderabad and is close to the major commercial centres of the area.",Independent Apartment,2 BHK,begumpet,5,0,2,boys,bed,1200,0,fully_furnished,[],5500,11100,22200,17.44118118,78.47312164,,TRUE
323812,2015,Meena Nest,chennai,"This cosy 2 BHK semi_furnished, house is located in the heart of Parthasarathy Puram, T Nagar, Chennai, Tamil Nadu, India, Chennai. Priced at ₹27500 for full house.",Independent House,2 BHK,t nagar,2,0,2,family,house,1000,2,semi_furnished,[],13750,13750,68750,13.05277824,80.23522186,10/7/2023,TRUE
347559,2020,HelloWorld Tranquil,bengaluru,"This spacious fully_furnished 2 BHK independent apartment for boys, girls, and family is located at Somasundarapalya,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,2 BHK,hsr layout,2,0,2,"boys,girls,family",house,1000,2,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",22000,22000,22000,12.89904404,77.6548996,10/7/2023,TRUE
357984,2020,Mantra Insignia_502,pune,"This beautiful 2 BHK semi_furnished, house is located in the heart of Keshav Nagar, Pune. Priced at ₹27000 for full house.",Independent Apartment,2 BHK,amanora park town,2,0,2,"boys,girls,family",house,1190,1,semi_furnished,['Tv'],13500,13500,54000,18.5117588,73.93595123,10/10/2023,TRUE
359923,2023,SP Recidency-303,bengaluru,"This charming semi_furnished 2 BHK independent apartment for boys, girls, and family is located at Kachohalli,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,2 BHK,kachohalli,2,0,2,"boys,girls,family",house,900,2,semi_furnished,[],6000,6000,18000,12.9924202,77.46806335,10/7/2023,TRUE
251629,2010,Madhu Nest,hyderabad,"Looking for a charming 2 BHK gated society apartment for girls at an affordable price in Venkataraman Colony, Hyderabad? Then, this is right one for you.",Gated Society Apartment,2 BHK,khairtabad,1,1,0,girls,bed,1000,2,fully_furnished,['Security'],6300,12600,25200,17.41333771,78.45211792,10/6/2023,TRUE
1683,,Rajeev House Ardee City,gurugram,"This spacious fully_furnished 4 BHK independent house for girls is located at Block C,Gurugram and is close to the major commercial centres of the area.",Independent House,4 BHK,ardee city,6,3,3,girls,bed,1500,2,fully_furnished,['Power Backup'],5600,10500,10500,28.43914032,77.07663727,10/6/2023,TRUE
336349,2023,Pramoda Nest ,mumbai,"Looking for a charming 2 BHK gated society apartment for boys, girls, and family at an affordable price in Veer Desai Industrial Estate, Mumbai? Then, this is right one for you.",Gated Society Apartment,2 BHK,andheri west,2,0,2,"boys,girls,family",house,650,2,unfurnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",62500,62500,187500,19.13772964,72.83435822,10/10/2023,TRUE
360927,2012,"Nathkrupa Residency_	303",pune,"This spacious semi_furnished 1 BK independent apartment for boys is located at Sainath Nagar,Pune and is close to the major commercial centres of the area.",Independent Apartment,1 BK,wadgaon sheri,1,0,1,boys,house,400,1,semi_furnished,[],18000,18000,18000,18.5405426,73.93403625,10/10/2023,TRUE
320278,2016,"	marigold runwal bliss 2006",mumbai,"Located at Kanjurmarg East, Mumbai, this cosy 2 BHK gated society apartment, which is priced at ₹12200 per bed with a security deposit of ₹24400.",Gated Society Apartment,2 BHK,bhandup east,1,1,0,girls,bed,710,2,semi_furnished,"['Swimming Pool', 'Gym', 'AC', 'Power Backup', 'Security']",12200,46200,92400,19.13188553,72.93505096,10/21/2023,TRUE
239176,2006, Powai Park CHS,mumbai,"This cosy 2 BHK fully_furnished, house is located in the heart of Hiranandani Garden, Mumbai. Priced at ₹12550 per bed.",Independent House,2 BHK,powai,1,1,0,boys,bed,750,2,fully_furnished,[],12550,23550,47100,19.117239,72.90888214,11/21/2023,TRUE
337533,2013,Dhanalakshmi M Nest,chennai,"Looking for a spacious 3 BHK independent house for girls at an affordable price in Radhakrishnan Nagar, Chennai? Then, this is right one for you.",Independent House,3 BHK,thiruvanmiyur,6,0,3,girls,bed,1150,3,fully_furnished,"['AC', 'Power Backup', 'Washing Machine', 'Fridge', 'Tv']",8333,16666,33332,12.99181366,80.25829315,10/7/2023,TRUE
8914,,Manjula Nest,bengaluru,"Located at Khb Colony, Bengaluru, this cosy 3 BHK independent house, which is priced at ₹8500 per bed with a security deposit of ₹17000.",Independent House,3 BHK,vijaya nagar,1,1,0,boys,bed,1300,1,fully_furnished,[],8500,17350,34700,12.97945404,77.53524017,10/6/2023,TRUE
292786,2010,Ashrith Le Parc 301,bengaluru,"Located at Doddanagamangala, Bengaluru, this cosy 2 BHK independent apartment, which is priced at ₹26000 for full house with a security deposit of ₹52000.",Independent Apartment,2 BHK,naganathapura,2,0,2,family,house,1000,2,semi_furnished,[],13000,13000,26000,12.86611557,77.66183472,10/18/2023,TRUE
341195,2020,Yashodhan Apartment_20,pune,"This quiet fully_furnished STUDIO independent apartment for boys is located at Keshav Nagar,Pune and is close to the major commercial centres of the area.",Independent Apartment,STUDIO,amanora park town,2,0,1,boys,bed,250,1,fully_furnished,"['Security', 'Washing Machine', 'Fridge']",6550,13100,13100,18.51027107,73.93761444,10/10/2023,TRUE
25502,,Pankaj Nikam's Nest,mumbai,"Located at Taximens Colony, Mumbai, this comfortable 2 BHK independent apartment, which is priced at ₹14810 per bed with a security deposit of ₹44430.",Independent Apartment,2 BHK,kurla west,4,1,1,boys,bed,850,2,semi_furnished,[],14810,31200,93600,19.06875038,72.87506104,10/9/2023,TRUE
319610,2010,Gopal Nest 13,bengaluru,"Located at Hmt Layout, Bengaluru, this comfortable 2 BHK independent apartment, which is priced at ₹14500 for full house with a security deposit of ₹29000.",Independent Apartment,2 BHK,yesvantpur,2,0,2,"boys,girls,family",house,700,2,semi_furnished,[],8250,8250,16500,13.03295135,77.55486298,10/7/2023,TRUE
1683,,Rajeev House Ardee City,gurugram,"This spacious fully_furnished 4 BHK independent house for girls is located at Block C,Gurugram and is close to the major commercial centres of the area.",Independent House,4 BHK,ardee city,6,3,3,girls,bed,1500,2,fully_furnished,['Power Backup'],5600,10500,10500,28.43914032,77.07663727,10/7/2023,TRUE
360914,2016,1 BHK Malviya Nagar,newdelhi,"Located at Block F, New delhi, this comfortable 1 BHK independent apartment, which is priced at ₹26000 for full house with a security deposit of ₹26000.",Independent Apartment,1 BHK,malviya nagar,1,0,1,"boys,girls,family",house,475,1,fully_furnished,[],26000,26000,26000,28.5292511,77.20785522,10/7/2023,TRUE
354096,2020,HelloWorld Aura,indore,"This beautiful STUDIO fully_furnished, house is located in the heart of Scheme 134, Indore. Priced at ₹5000 per bed.",Independent Apartment,STUDIO,nipania,2,0,1,"boys,girls",bed,350,1,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",5000,10000,10000,22.75250626,75.91823578,10/7/2023,TRUE
331101,2010,Rita House - 10,indore,"Looking for a spacious 1 BHK independent apartment for boys, girls, and family at an affordable price in Sukhila, Mangal Nagar, Indore? Then, this is right one for you.",Independent Apartment,1 BHK,sukhlia,1,0,1,"boys,girls,family",house,500,1,semi_furnished,[],9000,9000,9000,22.75527763,75.87205505,10/7/2023,TRUE
261513,2018,Mayur Nest,indore,"Looking for a spacious 1 BHK independent apartment for family at an affordable price in Bhawrasla, Indore? Then, this is right one for you.",Independent Apartment,1 BHK,bhawrasla,1,0,1,family,house,800,1,unfurnished,[],5500,5500,11000,22.79294014,75.85359192,10/7/2023,TRUE
259482,2010,Sanjay Nest#1,mumbai,"Located at Marol Village, Mumbai, this beautiful 2 BHK gated society apartment, which is priced at ₹8000 per bed with a security deposit of ₹20000.",Gated Society Apartment,2 BHK,andheri east,2,0,1,boys,house,915,2,fully_furnished,['Security'],8000,25850,64625,19.11153603,72.87861633,10/10/2023,TRUE
288533,2022,Ishtika Agastya 107,bengaluru,"Looking for a quiet 2 BHK independent apartment for boys, girls, and family at an affordable price in Ashok Nagar, Bengaluru? Then, this is right one for you.",Independent Apartment,2 BHK,begalakunte,2,0,2,"boys,girls,family",house,1000,2,semi_furnished,['Security'],12880,12880,38640,13.05439186,77.49804688,10/7/2023,TRUE
61285,,Gandhi House S F,gurugram,"Looking for a charming 3 BHK independent house for girls at an affordable price in Garden Villas, Gurugram? Then, this is right one for you.",Independent House,3 BHK,dlf city phase 4,3,0,1,girls,bed,1500,0,fully_furnished,[],4500,19500,39000,28.45974922,77.08548737,10/9/2023,TRUE
336450,2015,Shri kalleshwar Apartment_14,pune,"Located at Warje, Pune, this beautiful 1 BHK independent apartment, which is priced at ₹16500 for full house with a security deposit of ₹49500.",Independent Apartment,1 BHK,warje,1,0,1,"boys,girls,family",house,600,1,unfurnished,[],16500,16500,49500,18.48394203,73.79101563,10/10/2023,TRUE
360719,2023,Srinivas Nilayam Nest-403,bengaluru,"This quiet fully_furnished 1 BHK independent apartment for boys, girls, and family is located at Electronic City,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,1 BHK,electronic city,1,0,1,"boys,girls,family",house,650,1,fully_furnished,"['Fridge', 'Tv']",20000,20000,40000,12.8551302,77.67378998,10/7/2023,TRUE
334258,2017,Khanna Nest,mumbai,"Located at Kohinoor City Rajawadi, Mumbai, this cosy 3 BHK gated society apartment, which is priced at ₹86000 for full house with a security deposit of ₹344000.",Gated Society Apartment,3 BHK,kurla west,3,0,3,family,house,1341,3,semi_furnished,"['Gym', 'Power Backup', 'Security']",30000,30000,120000,19.0799427,72.88455963,10/10/2023,TRUE
357884,2019,Pintu Agarwal Nest -201,bengaluru,"This comfortable 1 BK fully_furnished, house is located in the heart of Someshwara Layout, Bengaluru. Priced at ₹11500 for full house.",Independent Apartment,1 BK,hulimavu,1,0,1,boys,house,120,1,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",11500,11500,23000,12.8787756,77.60103607,10/7/2023,TRUE
359712,2020,Imtiyaz Nest_302,hyderabad,"This beautiful 2 BHK unfurnished, house is located in the heart of Samata Colony, Hyderabad. Priced at ₹23000 for full house.",Independent Apartment,2 BHK,tolichowki,2,0,2,"boys,girls,family",house,1000,2,unfurnished,['Security'],11500,11500,23000,17.39987373,78.401474,10/7/2023,TRUE
3641,,001- BM Lotus Apartments,bengaluru,"Looking for a quiet 3 BHK independent apartment for boys at an affordable price in Marathahalli, Bengaluru? Then, this is right one for you.",Independent Apartment,3 BHK,doddakannalli,2,2,0,boys,bed,1450,2,fully_furnished,[],6500,12100,12100,12.91250801,77.69828796,10/6/2023,TRUE
4183,,D 703  Spring Bloom  BT Kawade Road,pune,"This charming fully_furnished 3 BHK gated society apartment for girls is located at Bhagyashree Nagar,Pune and is close to the major commercial centres of the area.",Gated Society Apartment,3 BHK,ghorpadi,3,1,1,girls,bed,1300,0,fully_furnished,['Security'],6650,17200,34400,18.52687645,73.90782166,10/14/2023,TRUE
359918,2023,SP Recidency-203,bengaluru,"Located at Kachohalli, Bengaluru, this comfortable 2 BHK independent apartment, which is priced at ₹12000 for full house with a security deposit of ₹36000.",Independent Apartment,2 BHK,kachohalli,2,0,2,"boys,girls,family",house,900,2,semi_furnished,[],6000,6000,18000,12.9924202,77.46806335,10/7/2023,TRUE
249089,2011,Liyakat Mohameddin Ansari,mumbai,"Looking for a quiet 3 BHK independent house for girls at an affordable price in Marol, Mumbai? Then, this is right one for you.",Independent House,3 BHK,andheri east,1,1,0,girls,house,950,3,fully_furnished,[],13000,22000,44000,19.11652565,72.88784027,10/9/2023,TRUE
274039,2001,Gulmohar Symphony 503,pune,"This charming fully_furnished 2 BHK gated society apartment for boys is located at Tukaram Nagar,Pune and is close to the major commercial centres of the area.",Gated Society Apartment,2 BHK,wadgaon sheri,3,1,1,boys,bed,1000,2,fully_furnished,"['Security', 'Washing Machine', 'Fridge', 'Tv']",8250,17450,34900,18.55027008,73.93313599,10/9/2023,TRUE
2493,,Siva Castle,bengaluru,"Looking for a spacious 4 BHK independent house for girls at an affordable price in Omkara Nagar, Bengaluru? Then, this is right one for you.",Independent House,4 BHK,arakere,7,1,2,girls,bed,1300,2,fully_furnished,[],6000,18000,36000,12.88936234,77.59551239,10/7/2023,TRUE
351298,2020,HelloWorld Tranquil,bengaluru,"Located at Somasundarapalya, Bengaluru, this cosy 2 BHK independent apartment, which is priced at ₹25000 per bed with a security deposit of ₹25000.",Independent Apartment,2 BHK,hsr layout,2,0,2,"boys,girls",bed,1000,2,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",25000,25000,25000,12.89904404,77.6548996,10/7/2023,TRUE
128928,,Kavita Rani Goswami NEST 143,newdelhi,"This beautiful 2 BHK fully_furnished, house is located in the heart of Greater Kailash, New delhi. Priced at ₹9900 per bed.",Independent House,2 BHK,zamrudpur,4,0,2,"boys,girls",bed,1800,1,fully_furnished,[],9900,19800,19800,28.55793762,77.23610687,10/7/2023,TRUE
13117,,TRISHUL NEST TF 301,bengaluru,"Looking for a charming 3 BHK independent apartment for girls at an affordable price in Block 2, Bengaluru? Then, this is right one for you.",Independent Apartment,3 BHK,koramangala,2,2,1,girls,,1500,1,fully_furnished,[],8500,8500,17000,12.92466927,77.62054443,10/6/2023,TRUE
126226,,shreepal  nagar D wing F 17,mumbai,"Located at Satya Nagar, Mumbai, this cosy 3 BHK gated society apartment, which is priced at ₹8500 per bed with a security deposit of ₹17000.",Gated Society Apartment,3 BHK,borivali west,2,2,0,girls,bed,1250,1,fully_furnished,"['Power Backup', 'Security']",8500,16620,33240,19.21767807,72.84244537,10/11/2023,TRUE
244413,2014,Nehru 1 BHk,indore,"Looking for a spacious 1 BHK independent apartment for boys, girls, and family at an affordable price in Nehru Nagar, Indore? Then, this is right one for you.",Independent Apartment,1 BHK,nehru nagar,1,0,1,"boys,girls,family",house,750,1,unfurnished,[],9000,9000,9000,22.73664856,75.88076782,10/7/2023,TRUE
360823,2019,Adarshmay Apartment_9,pune,"This charming fully_furnished STUDIO independent apartment for boys and girls is located at Lohegaon,Pune and is close to the major commercial centres of the area.",Independent Apartment,STUDIO,lohegaon,1,0,1,"boys,girls",house,350,1,fully_furnished,[],8000,8000,8000,18.61627007,73.91485596,10/7/2023,TRUE
359025,2020,Manzil Classic _601   ,hyderabad,"Looking for a spacious 2 BHK independent apartment for boys, girls, and family at an affordable price in Khizra Enclave, Hyderabad? Then, this is right one for you.",Independent Apartment,2 BHK,puppal guda,2,0,2,"boys,girls,family",house,1400,2,semi_furnished,[],11500,11500,46000,17.39511681,78.38837433,10/7/2023,TRUE
25489,,Gaurav Nest 70,noida,"Looking for a charming 3 BHK gated society apartment for girls at an affordable price in Block B, Noida? Then, this is right one for you.",Gated Society Apartment,3 BHK,sector 62,2,0,1,girls,bed,1500,1,fully_furnished,"['Swimming Pool', 'Power Backup', 'Security']",5250,13700,27400,28.62220955,77.37094116,10/7/2023,TRUE
351040,2022,K R Sampath_103,bengaluru,"This cosy 1 BHK semi_furnished, house is located in the heart of Saraswati Puram, Bengaluru. Priced at ₹8000 for full house.",Independent Apartment,1 BHK,devarachikannahalli,1,0,1,family,house,400,1,semi_furnished,[],8000,8000,40000,12.87991238,77.61573029,10/7/2023,TRUE
8252,,2BHK (202) IN Sree Nivas,hyderabad,"This comfortable 2 BHK fully_furnished, house is located in the heart of Madeenaguda, Hyderabad. Priced at ₹6600 per bed.",Independent House,2 BHK,hafizpet,1,1,0,boys,bed,1000,1,fully_furnished,[],6600,11750,23500,17.49371338,78.34422302,10/25/2023,TRUE
7335,,DSR Green Vista,bengaluru,"This spacious fully_furnished 3 BHK independent house for girls is located at Whitefield,Bengaluru and is close to the major commercial centres of the area.",Independent House,3 BHK,whitefield,1,1,0,girls,bed,1300,1,fully_furnished,[],8000,16000,32000,12.98371601,77.7445755,10/8/2023,TRUE
317954,2013,Mishra Nest.,gurugram,"Located at Sector 39, Gurugram, this comfortable 3 BHK independent house, which is priced at ₹38000 for full house with a security deposit of ₹38000.",Independent House,3 BHK,sector 39,3,0,3,family,house,2000,3,semi_furnished,[],12666,12666,38000,28.43906593,77.05200195,10/7/2023,TRUE
260304,2018,Siddhanta Niketan,indore,"This beautiful 1 BHK unfurnished, house is located in the heart of Bhawrasla, Indore. Priced at ₹6500 for full house.",Independent Apartment,1 BHK,bhawrasla,1,0,1,family,house,700,1,unfurnished,[],6500,6500,6500,22.79293442,75.85358429,10/7/2023,TRUE
337055,2015,BANUMATHY R 01,chennai,"This quiet unfurnished 1 BHK independent house for family is located at Surendra Nagar,Chennai and is close to the major commercial centres of the area.",Independent House,1 BHK,adambakkam,1,0,1,family,house,750,1,unfurnished,[],16500,16500,82500,12.98703575,80.19785309,10/7/2023,TRUE
359694,2015,Lapis Iazuli,pune,"Located at Iricen Railway Colony, Pune, this beautiful 2 BHK gated society apartment, which is priced at ₹43000 for full house with a security deposit of ₹129000.",Gated Society Apartment,2 BHK,koregaon park,2,0,2,"boys,girls,family",house,1280,2,fully_furnished,"['Swimming Pool', 'AC', 'Tv']",21500,21500,129000,18.53182602,73.8972168,10/10/2023,TRUE
257363,2018,Jain Nest,indore,"This quiet unfurnished 2 BHK independent apartment for girls and family is located at Sector A, Mahalxmi Nagar, Indore, Madhya Pradesh, India,Indore and is close to the major commercial centres of the area.",Independent Apartment,2 BHK,mahalxmi nagar,2,0,2,"girls,family",house,1200,2,unfurnished,[],7500,7500,45000,22.76018715,75.90696716,10/7/2023,TRUE
